Airline,Food & Beverage,Inflight Entertainment,Seat Comfort,Staff Service,Value for Money
Boutique Air,3,2,2,2,2
bmi Regional,3,2,3,4,3
Belavia,3,2,3,3,3
Breeze Airways,2,2,3,3,2
Brussels Airlines,3,2,3,3,3
Buddha Air,2,1,3,3,2
British Airways,3,3,3,3,3
Buta Airways,3,1,3,3,2
Camair-Co,1,-1,2,2,2
Bulgaria Air,2,1,2,3,3
Cambodia Bayon Airlines,2,-1,3,4,4
Canadian North,4,-1,4,4,3
Cambodia Airways,2,-1,3,4,3
Canaryfly,3,-1,3,4,4
Caribbean Airlines,3,2,3,3,3
Cape Air,-1,-1,2,2,2
Carpatair,-1,-1,-1,-1,4
Cayman Airways,2,1,2,2,2
Cathay Pacific Airways,3,4,4,4,4
Cathay Dragon,4,4,4,4,4
Cebu Pacific,2,1,3,3,3
China Airlines,3,3,3,4,4
China United Airlines,2,1,3,2,3
Citilink,3,1,3,4,4
CityJet,3,1,3,3,3
China Eastern Airlines,3,2,3,3,3
Coastal Aviation,1,-1,4,4,5
Cobalt,4,2,4,4,4
Comair,3,2,3,3,3
Central Mountain Air,2,1,2,2,2
Condor Airlines,3,2,2,3,2
China Southern Airlines,4,4,4,4,4
Conviasa,-1,-1,-1,-1,4
Corsair,3,2,3,3,3
Corendon Airlines,2,2,3,3,3
Cubana Airlines,2,1,3,3,2
Croatia Airlines,3,1,3,4,3
Copa Airlines,3,2,3,3,2
CSA Czech Airlines,2,2,3,3,3
Dimonim Air,-1,-1,3,3,5
Cyprus Airways,1,1,2,3,2
Dynamic International Airways,-1,-1,2,2,1
Dniproavia,-1,-1,-1,-1,4
Druk Air,4,1,4,5,3
Eastern Airlines,-1,-1,1,1,1
Delta Air Lines,3,3,3,3,2
Dragonair,4,3,4,4,4
Eastern Airways,2,1,2,3,2
Easyfly,3,-1,3,3,3
Eritrean Airlines,-1,-1,-1,-1,4
Edelweiss Air,4,3,3,4,3
El Al Israel Airlines,3,2,3,3,3
Ernest Airlines,-1,-1,2,2,2
Emirates,3,4,3,3,3
Egyptair,3,2,3,3,3
easyJet,3,1,3,3,3
Estonian Air,3,2,4,4,4
Ethiopian Airlines,3,2,3,3,3
Ellinair,4,3,4,4,4
euroAtlantic Airways,2,2,1,2,2
Etihad Airways,3,3,3,3,3
Eurowings,2,2,2,2,2
EVA Air,4,4,4,4,4
Europe Airpost,4,3,4,4,5
Evelop Airlines,2,2,2,2,3
fastjet,2,1,3,3,2
Felix Airways,-1,-1,4,4,3
flydubai,2,2,2,3,2
Fiji Airways,3,3,3,3,3
EWA Air,-1,-1,3,1,1
Firefly,4,2,3,4,4
Flair Airlines,2,1,2,2,2
flybe,5,-1,3,4,3
Finnair,3,3,3,4,3
Ravn Alaska,3,1,2,3,2
FlyArystan,5,-1,5,5,4
flyadeal,2,1,2,2,2
Fly540.com,2,1,2,2,3
Flynas,2,2,2,2,2
FMI Air,5,-1,4,5,5
FLYONE,1,-1,3,3,1
Grand Cru Airlines,5,-1,5,5,5
Germania Airline,3,3,3,3,3
French Bee,2,3,2,2,2
Georgian Airways,2,1,2,2,2
Germanwings,2,1,3,3,3
GoAir,2,1,2,2,2
Golden Myanmar Airlines,4,-1,4,5,5
Garuda Indonesia,4,4,4,5,4
Go First,1,1,2,2,1
Henan Airlines,-1,-1,-1,-1,4
FlySafair,3,1,3,3,3
Frontier Airlines,1,1,2,2,2
Hainan Airlines,4,4,4,5,4
Gulf Air,3,3,3,3,3
Hawaiian Airlines,3,2,3,3,3
Hi Fly,3,3,3,3,3
HiSky,-1,1,1,3,1
Himalaya Airlines,-1,-1,-1,-1,1
Horizon Air,3,1,3,4,4
Hunnu Air,4,-1,5,5,4
Hong Kong Airlines,3,3,3,4,3
InterSky,4,1,4,5,4
Intercaribbean Airways,1,3,2,2,1
HOP!,3,2,3,4,3
Icelandair,3,3,3,3,3
Insel Air,2,2,2,2,2
Iraqi Airways,4,3,3,3,3
Iberia Express,2,2,2,3,2
Iran Air,4,2,4,4,4
Interjet,2,1,2,2,2
Iberia,3,3,3,3,3
Israir Airlines,3,3,3,4,3
ITA Airways,2,2,2,2,2
JC International Airlines,-1,-1,-1,-1,1
Jazz,4,3,3,5,4
Jetairfly,3,3,3,4,3
Jazeera Airways,2,1,2,2,2
Jeju Air,2,1,2,3,2
JetSmart,2,1,2,2,4
Jetstar Japan,2,1,2,2,2
Jetstar Asia,2,1,2,3,3
Jetstar Pacific,2,1,2,2,2
Jet Airways,3,2,3,3,3
Jetstar Airways,2,2,2,3,2
Jetblue Airways,3,3,3,3,2
JetsuiteX,5,-1,5,5,5
Jin Air,3,1,3,4,4
Jet2.com,3,1,3,4,4
KD Air,-1,-1,-1,-1,1
Jordan Aviation,3,1,3,3,3
Kan Air,3,-1,4,4,3
Karthago Airlines,-1,-1,-1,-1,3
Kam Air,3,1,2,3,2
Kulula,2,1,2,3,2
Joon,2,3,2,3,2
La Compagnie,3,3,4,4,4
Kenya Airways,3,2,3,3,3
Japan Airlines,4,4,4,4,4
Kuwait Airways,3,2,3,3,3
Juneyao Airlines,2,1,3,3,3
LAN Airlines,3,3,4,4,3
LAN Peru,3,3,3,4,3
LAN Colombia,3,4,4,4,4
KLM Royal Dutch Airlines,3,3,3,4,3
Lao Airlines,3,2,4,4,4
Loch Lomond Seaplanes,-1,5,5,5,5
Libyan Airlines,4,4,4,4,3
Lubeck Air,5,-1,5,5,5
Loganair,4,1,4,4,3
Level,2,3,3,2,2
Lucky Air,3,-1,4,3,2
Lion Air,1,1,2,2,2
Korean Air,4,4,4,4,4
Laudamotion,2,1,2,2,2
LATAM Airlines,2,3,3,3,2
Madagasikara Airways,5,-1,4,5,5
Mack Air,-1,-1,4,3,5
Luxair,3,2,3,3,3
Lufthansa,3,3,3,4,3
Lynx Air,2,1,3,3,2
LIAT,1,-1,2,2,2
Mahan Air,4,3,4,4,4
Malawian Airlines,4,-1,2,3,2
LOT Polish Airlines,3,2,3,3,3
Maldivian,3,-1,3,4,3
Mandarin Airlines,3,-1,4,5,5
Malindo Air,2,3,3,3,3
MEGA Maldives Airlines,2,-1,1,4,1
MAYAir,-1,-1,3,4,4
Mauritania Airlines,1,1,2,1,3
Manta Air,5,-1,5,5,3
Mann Yadanarpon Airlines,4,-1,4,4,3
Malaysia Airlines,3,3,3,3,3
Maya Island Air,-1,-1,2,1,1
Meridiana,3,2,3,3,3
Mihin Lanka,2,1,3,3,4
Martinair,-1,-1,-1,-1,2
Mokulele Airlines,1,-1,3,3,2
Moldavian Airlines,-1,-1,-1,-1,4
Monarch Airlines,3,1,3,4,3
Motor Sich Airlines,4,-1,3,4,4
Myanmar Airways,3,1,3,4,4
Myanmar National Airlines,4,4,4,5,4
Montenegro Airlines,3,1,3,2,3
Nature Air,-1,-1,3,3,1
Nauru Airlines,4,1,5,5,4
NextJet,4,-1,1,2,1
Nile Air,4,-1,3,4,5
Nepal Airlines,3,2,3,4,3
NokScoot,2,-1,2,2,3
NAM Air,2,1,2,3,3
Nordavia,5,5,3,4,2
Nok Air,3,1,3,3,3
NIKI,3,2,3,3,3
Nordic Regional Airlines,2,-1,3,3,3
Nordica,2,1,3,4,3
Novair,-1,-1,-1,-1,1
NordStar,3,-1,3,3,5
Nordwind Airlines,1,-1,4,4,5
Norse Atlantic Airways,4,3,3,4,3
Okay Airways,2,-1,3,2,4
Nouvelair,2,1,2,2,2
Novoair,3,1,3,4,3
Norwegian,3,3,3,3,3
Olympic Air,4,2,3,4,3
Oman Air,3,4,4,4,3
Omni Air International,3,2,3,3,3
Openskies,1,1,2,2,2
Onur Air,2,1,2,2,3
Pacific Airlines,2,1,3,2,1
PAL Express,2,1,3,3,4
Pan Pacific Airlines,1,-1,1,1,1
PenAir,2,-1,3,3,2
Passion Air,3,-1,2,3,3
Peach Aviation,3,-1,3,3,3
Phuket Air,-1,-1,-1,-1,-1
Peruvian Airlines,2,1,2,2,2
PAWA Dominicana,3,-1,3,5,3
Petroleum Air Services,5,-1,3,3,4
PLAY,4,2,3,4,3
Pegasus Airlines,2,1,2,3,3
Pobeda Airlines,1,1,2,2,2
Porter Airlines,3,1,3,3,2
Philippine Airlines,3,3,3,4,3
Ravn Alaska,3,1,2,3,2
Privilege Style,3,1,3,3,3
Primera Air,1,2,4,3,3
Qantas Airways,3,3,3,4,3
QantasLink,3,1,3,3,3
Qazaq Air,5,-1,4,5,5
Qatar Airways,4,4,4,4,4
