header,rating,review_date,comment,trip_verified,aircraft,type_of_traveller,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_and_beverages,ground_service,value_for_money,wifi_and_connecticity,recommend
"""Aircraft was clean and cool""",8,2019-11-29,"Jayapura to Tanahmerah. Flight left and arrived on time. Aircraft was clean and cool, crew friendly, and even a simple inflight meal of a box of tea and a cake was provided.",True,,Business,Economy Class,Jayapura to Tanahmerah,November 2019,4,4,,4,4,,True
"""Plane was comfortable enough""",7,2019-01-03,"Yahukimo to Jayapura. Flight was about an hour late - quite normal in this remote place. Plane was comfortable enough, with reclining seats and even a box of tea provided, unlike on the sole competitor's flights on this route.",True,,Solo Leisure,Economy Class,Yahukimo to Jayapura,December 2018,3,3,,5,3,,True
