header,rating,review_date,comment,trip_verified,aircraft,type_of_traveller,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_and_beverages,ground_service,value_for_money,wifi_and_connecticity,wifi_and_connectivity,recommend
"""They are your worst nightmare""",1,2022-09-27,"I booked a flight from Delhi to Maldives and back on GoFirst, both were direct flights. Few days prior they canceled return flight for no reason and offered only one option with a connection that would take us 18 hours instead of the original 4 hours. Tried to reach them thru call center but couldn't after waiting 45 mins, Their Chat Help is a useless bot their website is even worse, Tries for hours to cancel and get a refund but no luck. Anyways I just had to go ahead and book a different flight. Bad experience but it got even worse. The day before we were to take off for our vacation, they sent a SMS and canceled the inbound flight as well and offered us such a lousy long connection that we had to cancel that flight as well and book an Indigo instead. It took us a whole day to get a hold of someone who was not even sorry. It has now cut our 4 days vacation down to 2.5 days and we forcibly bought more expensive tickets with long connections with no help from them ... for no other reason than that we selected to go with an airline that prides itself on being ""Customer First. What a sham! Cheap stunt of an airline this is. They are your worst nightmare.",True,,Couple Leisure,Economy Class,Delhi to Male,September 2022,,,,1,1,,,False
"""the worst airline""",1,2022-09-25,"Not Verified |  Writing this review after almost 10 attempts to fly with GoFirst and the flight has been cancelled at every single instance. This is the worst airline.  They have an extremely unethical business practice of showing flights on online portals that you book and then cancelling them. Apparently, they do not deem it fit to inform you in advance that the flight is cancelled and you have to continuously check it on their portal to learn for yourself that the flight is cancelled.",False,A320,Couple Leisure,Economy Class,Ahmedabad to Mumbai,September 2022,,,,,1,,,False
"""non-courteous, non-accommodating staff""",1,2022-09-24,"Worst, non-courteous, non-accommodating staff with merely any respect for anyone's time or schedule. Initially the airlines changed the travel date during the onwards journey without any notice or anything and did not have any provision to cancel the flight except for making a call to the customer care and being on hold for hours. During the return journey which was supposed to be a direct flight of 2 hours 30 minutes they changed it to a flight with layover at Bengaluru of around 3 hours 30 minutes. Which upon arriving to Bengaluru they were informed that their flight has again be rescheduled and the wait period changed from 3 hours to 8 hours. So, in all initially a ticket was booked with a journey duration of 2 hours 30 minutes has now become a journey which would take more than 8 hours. I wish I had an option to give 0 stars. No cooperative. Non-accommodating staff",True,,Family Leisure,Economy Class,Male to Mumbai via Bengalaru,September 2022,1,1,,1,1,,,False
"""subjecting us to enormous hardships""",1,2022-09-22,"Not Verified | Maldives to Delhi. We booked a return flight from Delhi to Maldives. Our return flight from Maldives on 22nd September was cancelled and we were made to take a flight via Bengaluru subjecting us to enormous hardships of disembarking at Bengaluru, multiple security checks and luggage check in, delay in reaching the destination. We were told at Maldives that this is a regular practice of Go First. They book the return tickets and subsequently cancel the return flight several times in a week when the passenger has no choice.",False,,Couple Leisure,Economy Class,Maldives to Delhi,September 2022,1,2,"<span class=""star fill"">1</span>",2,1,,1,False
"""Seat pitch are just ok""",7,2022-09-20,"Good experience. Go first is low cost carrier so nothing big expectation. Aircraft was A320,cabin was clean. Seat pitch are just ok for a short flight of one to 2 hrs, anyone above 6 feet can have some uncomfortable journey, suggest to book extra leg room seats. Boarding was on time so as departure and arrival. They sell some beverages and ready to cook items on board, if wants cooked food or sandwiches then have to book in advance.",True,A 320 Neo,Business,Economy Class,Ahmedabad to Mumbai,September 2022,3,4,,3,4,,,True
"""get ready to face some surprises""",4,2022-09-20,"Airline don't care about passengers luggage, you can see my luggage pictures attached. This was brand new luggage, only 10 days old. When I checked in there was not a single spot on the bag and when received my luggage in Amritsar it was hard for me to recognize my luggage, it was full of oil stains and very dirty. More over when I tried to complain to the Go First staff, instead admitting and finding the solution they were telling me, this is not happened by them and can't do anything. This is not oil stains and we don't know how and where your luggage get messed up. I told them you check any footage you can find there was nothing wrong with my luggage but all that was wastage of time. I have decided, will never travel again in this airline and I will suggest every one else before you book on this airline get ready to face some surprises.",True,,Solo Leisure,Economy Class,Amritsar to Mumbai,September 2022,4,3,,2,1,,,False
"""They don't care for customers""",1,2022-09-15,"They don't care for customers. Go first cancelled the flight abruptly. They don't even have courtesy msg or email to customer about cancellation. They can put you in any flight of the day or night without checking. Front desk is the worst, they forgot basic courtesy. Very rude. Customers are last for them",True,,Business,Economy Class,Srinagar to Mumbai,September 2022,2,3,"<span class=""star fill"">1</span>",1,1,,1,False
"""worst experience I had""",1,2022-09-13,"The worst experience I had in a flight journey. The flight departure was 9 pm, it got delayed by 3 hours. No intimation of flight delay. Gofirst is a third class flight. The staff not giving a proper explanation of delay.",True,,Solo Leisure,Economy Class,Bangalore to Mumbai,September 2022,1,1,"<span class=""star fill"">1</span>",1,1,,1,False
"""Horrible customer service""",1,2022-09-13,"Horrible customer service. They rescheduled the flight and sent me an email for the same. But this email had the incorrect time mentioned in it. When we reached the check in counter they simply told me that the flight had taken off and nothing could be done now. No help/solution provided from their staff even though it was their mistake of mistyping the correct flight time. After a lot of struggle with them, they charged us for a layover flight for us which delayed our travel time by more than 24 hrs. They did not provide any accomodation even though we were 3 females and had to wait overnight for the next flight. Our route was Bengaluru to Bombay and the Layover provided to us was Lucknow. Extremely pathetic attitude displayed by the Bengaluru Go First staff. Never travelling by this airlines ever again.",True,,Family Leisure,Economy Class,Bengaluru to Lucknow via Mumbai,August 2022,1,1,,1,1,,,False
"""I had a very bad experience""",1,2022-09-11,I had a very bad experience with Go first. I booked a connection flight from Delhi to Kannur via Mumbai. Two days prior to the flight date i have got a message saying there's a delay in the flight from Delhi to Mumbai. When I checked the rescheduled time Gofirst has provided me a very unrealistic connection flight time in such a way that my first flight will reach Mumbai five minutes after the second flight departure from Mumbai. When I contacted their customer care they didn't even provide any solution. So I asked them if i can cancel the first flight and board second flight from Mumbai. Then they denied it saying flight is overbooked (The flight which I have already booked with full payment). The same flight available online with a higher amount at same time. When I questioned it they said they will consider my partial cancellation but still they haven't get back on the refund status. So I had to book another flight to reach Mumbai and board the second flight. Never going to choose go first again,True,A320,Family Leisure,Economy Class,Delhi to Kannur via Mumbai,September 2022,1,1,,1,1,,,False
