header,rating,review_date,comment,trip_verified,aircraft,type_of_traveller,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_and_beverages,ground_service,value_for_money,wifi_and_connecticity,wifi_and_connectivity,recommend
"""No sense of responsibility""",1,2022-09-09,Delhi to Dehradun. Pathetic service. No clear communication once the flight was cancelled. No sense of responsibility. At the end moment they have cancelled the flight without giving full refund or alternative flight.,True,,Solo Leisure,Economy Class,Delhi to Dehradun,September 2022,1,1,"<span class=""star fill"">1</span>",1,1,,1,False
"""Seriously poor airline""",1,2022-09-07,"They reschedule the flights constantly. My flight is unrecognisable from the one I booked. I book flights based on timings and convenience of taking 2 young kids with me. Then Go First reschedule them, 3 times so far, to flights that will be utterly miserable, dragging 2 kids through various busy airports, getting bags, changing terminals, waiting for 5 hours, all in the middle of the night instead. And cancel any alternatives which might make the journey any more bearable. Seriously poor airline. Never again.",True,,Family Leisure,Economy Class,Pune to Phuket via Bangalore,April 2022,1,1,,1,1,,,False
"""Very pathetic service""",1,2022-09-05,Very pathetic service. This airline don't have any respect towards the customers important time. They don't care whatever work they have. Or they will be able to travel after arrival or not. It feels like standing at a local bus stop for bus. The the nonsense crew doesn't have any idea of anything if you do enquiry. It's not first time I'm facing this. One or twice we can understand. But every time and with all my know people who frequently fly. They all try to avoid this nonsense flight. It always spoils all the planned work.,True,,Solo Leisure,Economy Class,Delhi to Bengaluru,September 2022,2,2,"<span class=""star fill"">1</span>",1,1,,1,False
"""Okay experience for a short flight""",9,2022-09-02,"Gofirst a low cost carrier, all A320 fleet with 31 row seating configuration. My flight was early morning Delhi to Ahmedabad, boarding experience ok, flight departed on time and same for arrival. Cabin was clean and fresh and so was toilet. No inflight entertainment. Okay experience for a short flight.",True,A320,Business,Economy Class,Delhi to Ahmedabad,August 2022,3,4,,3,4,,,True
"""Very pathetic service""",1,2022-08-18,"Very pathetic service. Scheduled time of flight was 6:00 am. It was departed at 8:30am. Bad example of team work. Cabin crew did not know the reason what Ground staff was doing. Specifically, ground staff appeared to be confused all the time. No tea or coffee offered to passengers at all. Bad food service. I was travelling with my family. My family warned me not to book this airline in future. Time is money for all but not for this airline.",True,,Family Leisure,Economy Class,Mumbai to Nagpur,August 2022,3,1,,1,1,,,False
"""Worst flying experience"" ",2,2022-08-15,"Not Verified |  Always reshedule/delays the flights. Online check-in doesn't allow to select seats. Changed seats in flight as well, due to various reasons given by staff. Worst flying experience. Not recommended.",False,,Family Leisure,Economy Class,Delhi to Mumbai,August 2022,2,2,,1,2,,,False
"""Worst experience ever"" ",1,2022-08-15,"Pathetic service. Worst experience ever. I won't recommend to take this airline, it's worth avoiding. I was traveling with my family from Bangalore to Pune. They rescheduled my flight 4 times on a same day, even when we reached airport (2hrs before) they rescheduled it again in the last moment by 45 minutes delay. Poor management. Person on the ticket counter said you don't need hardcopy of boarding pass, I was travelling with my 7 months old son, they said you don't need a separate boarding pass for him it's mentioned on his mother boarding paas as infant. But when we reached checking place they asked me to go and bring the separate boarding paas. They should train their employees properly before placing on live counter, it's not onjob training. I have to again travel back to ticket counter, again follow the line and then returned. Waste of time and Bangalore airport is a big one you have to travel a lot. When we reached Pune, we went to get our luggage on the luggage belt. We found our new red big suitcase turned into black with some substance all over it. When we asked on help desk, they bring the 'Go First' representative. He was so rude & arrogant, he said it's common, and it's not our responsibility. It is just dust, I asked him to clean up if it's only the dust then he replied it's not our responsibility to take care of ur luggage, you may complaint or write a feedback or check the policy online. This is the way the respond.",True,,Family Leisure,Economy Class,Bangalore to Pune,August 2022,2,1,"<span class=""star fill"">1</span>",1,1,,1,False
"""very pathetic service""",1,2022-08-11,11 Aug 2022: Flight No 2603 actual departure time was 1150 hrs. Rescheduled at 1340 hours. Again rescheduled at 1415 hrs. There is no sign of boarding of the flight. It is very pathetic service.,True,,Business,Economy Class,Mumbai to Coimbatore,August 2022,,,,1,1,,,False
"""never choose this airline again""",1,2022-08-10,Not Verified |  We were on time at the Airport but Nobody of Go First was at the international transfer counter to do our Check in (2 hours before Boarding). We were told to wait but Nobody came until half an Hour before departure after several requests from us somebody of another Airline tried to Help us. In the end Go First refused us to get on the flight. Very bad organisation. I will never choose this airline again.,False,,Family Leisure,Economy Class,Delhi to Bangkok,July 2022,,,,1,1,,,False
"""airline is worth avoiding""",4,2022-08-06,"Rude cabin crew. Go First is a LCC ,earlier it was Goair but later rebranded itself as Go First, its management should understand that just changing names doesn't matter, its the service which matters, changing schedule in last moment is very common with Go First. This time flight departed on time but crew were extremely rude. Aircraft was clean as it should be, flight departed on time. The aircraft was almost one third empty, from row 21 to 30 I was the only passenger, this was rare to see so I just took a 5-6 seconds of a video in which no passenger or cabin crew was captured, only empty seats and 2 cabin crew appeared and asking me to delete the video. This airline is worth avoiding now.",True,A320 Neo,Solo Leisure,Economy Class,Mumbai to Delhi,August 2022,2,1,,2,2,,,False
"""denied to give boarding pass""",1,2022-08-06,"The flight was scheduled at 5.55am from Bangalore and I reached the boarding pass counter at 5.07am but staff at counter has denied to give boarding pass and yet flight was not departed. The staff at counter saying you are late. This is first time i was travelling alone and such a rude behavior from Go First staff spoiled my journey, staff suggested to pay more for next flight at evening. I will never ever recommend this flight to anyone and very mush disappointed from the staff behavior and service.",True,,Solo Leisure,Economy Class,Bangalore to Ahmedabad,August 2022,,,,1,1,,,False
"""bad service from the staff""",1,2022-07-20,"Not Verified |  Ground staff in Mumbai was unhelpful when my luggage was missing. Staff lied and showed no care for my luggage, instead sat there and talked on their phones completely ignoring me. When calling the staffers on their lie they his their name tags and refused to call supervisor or take any action while hiding their name tag. Not upset about the luggage as much I was about the bad service from the staff.",False,A320,Family Leisure,Economy Class,Amritsar to Mumbai,July 2022,2,3,,1,2,,,False
"""Cabin crew were courteous""",7,2022-06-21,"Ok experience, not bad, only had cabin baggage so no check in experience. Boarding was on time, aircraft was clean and hygienic, seat pitch was just like any budget carrier, ok for 1-2 hr journey. Cabin crew were courteous, didn't book meal so can't comment. Reached destination on time.",True,A320,Business,Economy Class,Patna to Delhi,April 2022,2,4,,3,4,,,True
"""Flight delayed by 2.5 hours""",1,2022-05-30,"Not Verified |  Flight delayed by 2.5 hours. Initially they announced 35 min delay from 4:55 to 5:30 pm. But flight took off at 7:20 pm with no further announcement from pilot. This airline has been consistently delayed for last few days of my travel date, but delay on my travel day was really above the limit. Who will enforce these type of airlines to follow punctuality?",False,A320,Solo Leisure,Economy Class,Delhi to Ahmedabad,May 2022,1,1,"<span class=""star fill"">1</span>",1,1,,1,False
"""really a bad experience""",1,2022-05-28,The worst experience I had while travelling in an aircraft and not friendly to the passengers. Especially the counter staff are so rude to the passengers and talks back as if we did not take the ticket. Its really a bad experience and suggest not to take Go First.,True,,Solo Leisure,Economy Class,Delhi to Varanasi,May 2022,1,1,,1,1,,,False
"""never fly this carrier please""",1,2022-05-19,"I bought a ticket from Goa to Delhi, canceled the flight the day before departure, without explanation, did not return the money on request, pure deception, never fly this carrier please.",True,,Solo Leisure,First Class,Goa to Delhi,February 2022,,,,1,2,,,False
"""there are no free seats available""",1,2022-04-30,"Go first does not allow to check in without additional payment for seat selection, I mean there are no free seats available. All airlines provide payment seat for customers who wish to select seats and the free seats options are available for web checkin last 24 hrs of departure. We have saved the screen shots and contacted customer care but they are insisting that additional payment required for seat selection and check in process . They could not solve this in time and due to the delay we would have missed the flight. Our friends could not join us as flight was overbooked and seats were not available.",True,A320,Family Leisure,Economy Class,Delhi to Kochi ,April 2022,2,3,,1,1,,,False
