header,rating,review_date,comment,trip_verified,aircraft,type_of_traveller,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_and_beverages,ground_service,value_for_money,wifi_and_connecticity,recommend
"""recommend this airline""",10,2016-12-23,✅ Verified Review |  One of the best flights I have been on between Oslo and Billund. I didn't know that this kind of service still exsisted. Excellent food and service. I know it cost a bit more but it is well spent money. I do recommend this airline which operates flights on behalf of British Airways.,False,,Solo Leisure,Economy Class,OSL to BLL,December 2016,4,5,"<span class=""star fill"">3</span>",5,5,,True
"""full meal and bar service """,10,2015-11-21,"Gothenburg to Cambridge with Sun-Air (a franchise partner of British Airways,). Aircraft are painted in British Airways livery and operate under BA flight numbers. The flight was only half full making the 32 seat Dornier more like a private jet than a small airliner. Full meal and bar service on this 2 hour flight. Crew very good.",False,Dornier 328JET,Solo Leisure,Economy Class,GOT to CBG,November 2015,5,5,,5,5,,True
